%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
40.0, -168.54981120303273, -206.248002756387, -59.5466870944947, -84.01498255459592, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611809776E9, 0.0, 2023-06-28 12:27:41.180
40.0, -248.91278145089746, -323.43402796797454, -249.82905694004148, -249.92068448895589, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611809776E9, 0.0, 2023-06-28 12:27:41.180
41.0, -266.5277102421969, -344.54950311779976, -150.47113481722772, -176.29701396124437, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611967971E9, 0.0, 2023-06-28 12:27:41.196
41.0, -160.0377989038825, -234.7049015192315, -25.577175796963274, -70.47654471499845, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228611967971E9, 0.0, 2023-06-28 12:27:41.196
42.0, -206.2816618559882, -269.4261327078566, -198.22591735143214, -194.58138484461233, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861197446E9, 0.0, 2023-06-28 12:27:41.197
42.0, -294.26654821354896, -342.02881054766476, -206.81646754965186, -226.74826436350122, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861197446E9, 0.0, 2023-06-28 12:27:41.197
43.0, -192.85916091501713, -259.0404305309057, -34.433258892036974, -81.11656008893624, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228612109964E9, 0.0, 2023-06-28 12:27:41.210
43.0, -137.76295476779342, -210.6236857045442, -112.69440536480397, -133.10864927293733, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228612109964E9, 0.0, 2023-06-28 12:27:41.210
44.0, -277.6800919100642, -339.06680978275836, -244.55205810256302, -244.79328164970502, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861226766E9, 0.0, 2023-06-28 12:27:41.226
44.0, -262.944886084646, -329.8292568922043, -92.28577130660415, -125.43437456386164, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861226766E9, 0.0, 2023-06-28 12:27:41.226
45.0, -180.61846836004406, -225.68800272606313, -62.983655153773725, -99.33735267305747, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228612274134E9, 0.0, 2023-06-28 12:27:41.227
45.0, -224.91384343523532, -312.4873407976702, -240.92061524558812, -245.29442824376747, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228612274134E9, 0.0, 2023-06-28 12:27:41.227
46.0, -276.6590992221609, -329.6422618944198, -140.91195053048432, -172.53467460582033, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228612409563E9, 0.0, 2023-06-28 12:27:41.240
46.0, -196.60654067061841, -247.49535936769098, -30.281969941221178, -67.40234695142135, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228612409563E9, 0.0, 2023-06-28 12:27:41.240
47.0, -187.8701343741268, -242.21462063025683, -196.41206587292254, -206.21621360676363, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861256811E9, 0.0, 2023-06-28 12:27:41.256
47.0, -252.14405501261353, -327.21506682317704, -194.65431289374828, -213.40804122155532, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922861256811E9, 0.0, 2023-06-28 12:27:41.256
48.0, -207.04086154699326, -262.92244668491185, -35.652466277591884, -78.59586751880124, -0.01600000075995922, -0.03200000151991844, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 1.68792286125756E9, 0.0, 2023-06-28 12:27:41.257
